Latitude,Longitude,Value
-12.5,127.5,1.786684947
-12.5,132.5,2.011649009
-12.5,137.5,2.043168776
-12.5,142.5,2.117474619
-12.5,147.5,2.337351317
-12.5,152.5,2.344547666
-12.5,157.5,2.293934642
-12.5,162.5,2.158942544
-12.5,167.5,2.130174808
-12.5,172.5,1.97342563
-12.5,177.5,1.983524136
-7.5,-177.5,1.601988962
-7.5,-172.5,1.640037098
-7.5,-167.5,1.541044553
-7.5,-162.5,1.365763207
-7.5,-157.5,1.34211522
-7.5,-137.5,1.210706188
-7.5,-132.5,1.3721017
-7.5,-127.5,1.281779045
-7.5,-122.5,1.244553739
-7.5,-117.5,1.207812803
-7.5,-112.5,1.219707876
-7.5,-107.5,1.34281299
-7.5,-102.5,1.305980456
-7.5,-97.5,1.369252472
-7.5,-92.5,1.592780092
-7.5,-87.5,1.776496567
-7.5,-82.5,1.965802046
-7.5,-77.5,1.815560803
-7.5,-72.5,1.992999452
-7.5,-67.5,1.942154909
-7.5,-52.5,3.301824124
-7.5,-47.5,3.154259373
-7.5,-42.5,3.22511779
-7.5,-37.5,3.231563895
-7.5,-32.5,2.100681478
-7.5,-27.5,1.959293229
-7.5,-22.5,2.028037927
-7.5,-17.5,2.139391907
-7.5,-12.5,2.343911678
-7.5,-7.5,2.465046074
-7.5,-2.5,2.61958641
-7.5,2.5,2.782983189
-7.5,7.5,3.138938039
-7.5,12.5,3.304489132
-7.5,17.5,2.847047063
-7.5,22.5,2.513099831
-7.5,27.5,2.301957691
-7.5,32.5,2.040935059
-7.5,37.5,2.538669731
-7.5,42.5,1.934384476
-7.5,47.5,1.901116909
-7.5,52.5,1.939718555
-7.5,57.5,2.042774903
-7.5,62.5,2.131374813
-7.5,67.5,2.122159258
-7.5,72.5,1.993652521
-7.5,77.5,1.91058772
-7.5,82.5,1.917376729
-7.5,87.5,2.009922426
-7.5,92.5,2.030744657
-7.5,97.5,1.979227916
-7.5,102.5,1.879025267
-7.5,107.5,1.783074654
-7.5,112.5,1.696687641
-7.5,117.5,1.669478269
-7.5,122.5,1.696471821
-7.5,127.5,1.822246308
-7.5,132.5,1.929393912
-7.5,137.5,2.023302775
-7.5,142.5,2.073297156
-7.5,147.5,2.210697729
-7.5,152.5,2.332661156
-7.5,157.5,2.207384364
-7.5,162.5,2.068241522
-7.5,167.5,1.988185904
-7.5,172.5,1.774176827
-7.5,177.5,1.763055156
-2.5,-177.5,1.701972094
-2.5,-172.5,1.468245302
-2.5,-167.5,1.372144462
-2.5,-162.5,1.275134118
-2.5,-157.5,1.25544872
-2.5,-152.5,1.032003748
