Latitude,Longitude,Value,Value_Celsius
-37.5,-27.5,2.105500369,1.1697224272222222
-37.5,-22.5,2.020956497,1.1227536094444444
-37.5,-17.5,1.87999592,1.0444421777777777
-37.5,-12.5,1.956175431,1.0867641283333331
-37.5,-7.5,2.237165214,1.2428695633333335
-37.5,-2.5,2.425398977,1.3474438761111112
-37.5,2.5,2.599593056,1.4442183644444444
-37.5,7.5,2.71729709,1.5096094944444447
-37.5,12.5,2.630206931,1.4612260727777777
-37.5,17.5,2.429317382,1.3496207677777778
-37.5,22.5,2.234944827,1.241636015
-37.5,27.5,2.141141731,1.1895231838888887
-37.5,32.5,2.015608184,1.1197823244444445
-37.5,37.5,1.891429248,1.0507940266666667
-37.5,42.5,1.851802866,1.02877937
-37.5,47.5,2.138993502,1.1883297233333332
-37.5,52.5,2.349808514,1.3054491744444443
-37.5,57.5,2.349103066,1.305057258888889
-37.5,62.5,2.183618581,1.2131214338888892
-37.5,67.5,2.031405661,1.1285587005555557
-37.5,72.5,1.921247121,1.0673595116666668
-37.5,77.5,1.76684756,0.9815819777777778
-37.5,82.5,1.886341715,1.0479676194444445
-37.5,87.5,1.932568809,1.0736493383333334
-37.5,92.5,1.964034049,1.0911300272222222
-37.5,97.5,2.015748731,1.119860406111111
-37.5,102.5,1.913906139,1.0632811883333335
-37.5,107.5,1.697099803,0.9428332238888889
-37.5,112.5,1.647552855,0.9153071416666667
-37.5,117.5,1.717770191,0.9543167727777777
-37.5,122.5,1.816540353,1.009189085
-37.5,127.5,1.941862873,1.0788127072222222
-37.5,132.5,2.218347645,1.2324153583333333
-37.5,137.5,2.424797438,1.347109687777778
-37.5,142.5,2.377612311,1.3208957283333334
-37.5,147.5,2.727297914,1.515165507777778
-37.5,152.5,2.794286952,1.5523816400000001
-37.5,157.5,2.600753937,1.4448632983333334
-37.5,162.5,2.392766616,1.3293147866666666
-37.5,167.5,2.080391682,1.1557731566666667
-37.5,172.5,2.089474657,1.1608192538888888
-37.5,177.5,2.260571687,1.2558731594444446
-32.5,-177.5,2.162002948,1.2011127488888889
-32.5,-172.5,2.122067649,1.1789264716666665
-32.5,-167.5,2.024524766,1.1247359811111108
-32.5,-162.5,2.012858017,1.1182544538888888
-32.5,-157.5,2.117116843,1.1761760238888888
-32.5,-152.5,2.156650146,1.19813897
-32.5,-147.5,2.120650035,1.1781389083333336
-32.5,-142.5,2.2091805,1.2273225
-32.5,-137.5,1.935796719,1.0754426216666666
-32.5,-132.5,1.988302845,1.1046126916666668
-32.5,-127.5,1.793114449,0.9961746938888889
-32.5,-122.5,1.738129645,0.9656275805555556
-32.5,-117.5,1.70605532,0.9478085111111112
-32.5,-112.5,1.615572087,0.8975400483333333
-32.5,-107.5,1.460132763,0.8111848683333334
-32.5,-87.5,0.94767708,0.5264872666666666
-32.5,-82.5,1.488570645,0.8269836916666667
-32.5,-77.5,1.351434517,0.7507969538888888
-32.5,-72.5,1.259766553,0.6998703072222222
-32.5,-67.5,1.609859549,0.8943664161111111
-32.5,-62.5,2.071432073,1.1507955961111112
-32.5,-57.5,2.755078866,1.53059937
-32.5,-52.5,2.999424826,1.6663471255555555
-32.5,-47.5,2.655040928,1.4750227377777778
-32.5,-42.5,2.341152065,1.300640036111111
-32.5,-37.5,2.126401196,1.181333997777778
-32.5,-32.5,2.143040066,1.1905778144444445
-32.5,-27.5,2.292219778,1.2734554322222222
-32.5,-22.5,2.14168871,1.189827061111111
-32.5,-17.5,2.085026906,1.158348281111111
-32.5,-12.5,1.977995621,1.0988864561111111
-32.5,-7.5,2.085930631,1.1588503505555556
-32.5,-2.5,2.208370489,1.2268724938888889
-32.5,2.5,2.3128244590000002,1.2849024772222224
-32.5,7.5,2.332287098,1.2957150544444445
-32.5,12.5,2.261109328,1.2561718488888889
-32.5,17.5,2.259904409,1.2555024494444444
-32.5,22.5,2.834653497,1.5748074983333333
-32.5,27.5,2.186497181,1.214720656111111
-32.5,32.5,2.007206989,1.115114993888889
-32.5,37.5,1.796663984,0.9981466577777778
-32.5,42.5,1.757776221,0.9765423449999999
-32.5,47.5,1.948953907,1.0827521705555556
-32.5,52.5,2.038246864,1.1323593688888889
-32.5,57.5,2.030225846,1.1279032477777777
-32.5,62.5,1.924193935,1.0689966305555556
-32.5,67.5,1.792072769,0.9955959827777777
-32.5,72.5,1.727312943,0.9596183016666667
-32.5,77.5,1.746876001,0.9704866672222222
-32.5,82.5,1.751933168,0.9732962044444444
-32.5,87.5,1.801004101,1.0005578338888887
-32.5,92.5,1.910430049,1.0613500272222223
-32.5,97.5,1.977958913,1.0988660627777778
-32.5,102.5,1.877459585,1.0430331027777777
-32.5,107.5,1.756469751,0.9758165283333334
-32.5,112.5,1.763151555,0.9795286416666666
-32.5,117.5,2.400183132,1.3334350733333333
-32.5,122.5,2.324717346,1.2915096366666665
-32.5,127.5,2.179675893,1.210931051666667
-32.5,132.5,2.333861645,1.2965898027777776
-32.5,137.5,2.132196277,1.184553487222222
-32.5,142.5,2.166259101,1.2034772783333334
-32.5,147.5,1.934246261,1.074581256111111
-32.5,152.5,2.547342009,1.415190005
-32.5,157.5,2.490738871,1.3837438172222223
-32.5,162.5,2.400884781,1.3338248783333333
-32.5,167.5,2.180750591,1.211528106111111
